実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"491,169.1 ","276,969.9 ","271,761.7 ","228,897.1 ","24,890.7 ","75,611.8 ",-651.8 ,"90,342.5 ","37,128.3 ",74.6 ,"-8,770.5 ","55,995.0 ","64,765.5 ","-4,426.3 ",,"18,132.6 ","509,301.8 ","7,824.0 ","10,714.5 ","2,890.5 ","517,125.7 ",,"503,361.7 ","376,890.6 ","126,546.6 ",,"136,450.7 ",,"491,135.7 ",,,
7- 9.,"492,616.9 ","276,842.6 ","271,496.1 ","228,368.1 ","25,391.4 ","74,433.4 ","1,815.8 ","90,678.7 ","36,099.8 ",-98.3 ,"-8,349.6 ","57,994.9 ","66,344.5 ","-4,196.9 ",,"18,255.3 ","510,872.2 ","9,338.5 ","12,134.9 ","2,796.4 ","520,210.7 ",,"503,990.0 ","378,240.0 ","125,810.0 ",,"134,720.2 ",,"490,570.9 ",,,
10-12.,"497,976.4 ","280,604.0 ","275,206.2 ","231,965.2 ","25,070.6 ","77,427.0 ",-705.4 ,"91,066.3 ","35,262.6 ",-393.6 ,"-6,903.0 ","60,959.3 ","67,862.3 ","-3,452.2 ",,"18,597.3 ","516,573.7 ","8,367.5 ","11,039.4 ","2,671.9 ","524,941.2 ",,"507,656.5 ","382,496.5 ","125,189.6 ",,"136,815.5 ",,"498,376.6 ",,,
2004/ 1- 3.,"501,632.5 ","280,474.8 ","275,112.1 ","231,609.0 ","25,345.3 ","77,359.4 ","2,902.5 ","91,484.5 ","33,614.0 ",-341.2 ,"-5,973.2 ","63,965.9 ","69,939.0 ","-3,233.6 ",,"17,883.1 ","519,515.6 ","9,358.8 ","12,021.6 ","2,662.8 ","528,874.4 ",,"510,000.8 ","385,837.6 ","124,157.4 ",,"135,467.7 ",,"498,804.7 ",,,
4- 6.,"501,716.9 ","280,912.7 ","275,599.6 ","231,950.4 ","25,841.2 ","77,084.9 ","1,227.2 ","91,094.7 ","33,440.8 ",63.4 ,"-5,053.4 ","66,066.3 ","71,119.7 ","-2,894.6 ",,"16,883.5 ","518,600.4 ","10,035.6 ","12,894.6 ","2,859.0 ","528,636.0 ",,"508,870.8 ","384,907.5 ","123,958.0 ",,"135,471.7 ",,"500,026.9 ",,,
7- 9.,"504,785.3 ","283,004.1 ","277,706.8 ","233,906.0 ","25,917.7 ","78,066.1 ","2,130.6 ","91,479.5 ","32,807.5 ",54.6 ,"-6,042.6 ","66,637.2 ","72,679.8 ","-2,632.0 ",,"16,853.0 ","521,638.3 ","10,338.8 ","13,426.3 ","3,087.5 ","531,977.1 ",,"512,689.6 ","388,894.7 ","123,765.3 ",,"135,978.3 ",,"502,303.1 ",,,
10-12.,"503,804.6 ","281,501.7 ","276,179.5 ","232,231.6 ","25,951.6 ","79,785.2 ","1,890.6 ","91,491.9 ","32,396.8 ",152.8 ,"-7,343.4 ","67,515.4 ","74,858.7 ","-2,022.6 ",,"17,356.8 ","521,161.4 ","10,790.4 ","14,034.5 ","3,244.1 ","531,951.8 ",,"512,453.3 ","388,927.8 ","123,491.4 ",,"137,424.5 ",,"501,451.0 ",,,
2005/ 1- 3.,"506,399.9 ","283,190.1 ","277,818.2 ","233,761.8 ","25,561.5 ","81,795.3 ","1,172.2 ","92,380.1 ","31,695.8 ",188.0 ,"-7,514.0 ","66,836.8 ","74,350.8 ","-2,069.0 ",,"16,161.9 ","522,561.8 ","10,324.6 ","14,207.2 ","3,882.6 ","532,886.5 ",,"515,449.8 ","391,618.7 ","123,789.4 ",,"138,490.5 ",,"504,662.2 ",,,
4- 6.,"510,355.4 ","285,029.1 ","279,589.8 ","235,397.3 ","25,351.1 ","84,634.3 ","1,303.5 ","91,985.9 ","29,705.3 ",-19.2 ,"-5,973.4 ","69,714.9 ","75,688.3 ","-1,661.1 ",,"14,127.0 ","524,482.4 ","11,534.2 ","15,622.7 ","4,088.5 ","536,016.6 ",,"517,714.8 ","396,250.0 ","121,370.6 ",,"139,382.2 ",,"508,673.7 ",,,
7- 9.,"515,531.7 ","287,711.7 ","282,213.3 ","237,870.3 ","25,870.5 ","86,517.3 ",772.6 ,"91,822.6 ","30,170.3 ",17.7 ,"-5,947.0 ","71,897.8 ","77,844.8 ","-1,404.0 ",,"12,651.5 ","528,183.2 ","12,250.7 ","16,387.0 ","4,136.3 ","540,433.9 ",,"522,581.6 ","400,810.3 ","121,662.8 ",,"142,255.6 ",,"514,297.7 ",,,
